The It Girl;Ruth Ware;3,85;423;254478;22092;2022-07-12;2022;Mystery
Anatomy;Dana Schwartz;3,84;338;84015;12606;2022-01-18;2022;Historical Fiction
The Overnight Guest;Heather Gudenkauf;4,04;316;107703;11013;2022-01-25;2022;Thriller
A Magic Steeped in Poison;Judy I. Lin;3,83;374;29551;5991;2022-03-29;2022;Fantasy
Fairy Tale;Stephen King;4,11;599;256000;29889;2022-09-06;2022;Fantasy
The Night Shift;Alex Finlay;3,91;312;66122;8467;2022-03-01;2022;Thriller
Daisy Darker;Alice Feeney;3,77;338;191796;24461;2022-08-30;2022;Mystery
Ruby Fever;Ilona Andrews;4,44;380;16810;1767;2022-08-23;2022;Urban Fantasy
Killers of a Certain Age;Deanna Raybourn;3,86;368;94208;12621;2022-09-06;2022;Mystery
The Christie Affair;Nina de Gramont;3,72;320;84035;8481;2022-02-01;2022;Historical Fiction
Fevered Star;Rebecca Roanhorse;4,1;384;16740;2674;2022-04-19;2022;Fantasy
The Book Woman's Daughter;Kim Michele Richardson;4,23;320;69191;6310;2022-05-03;2022;Historical Fiction
The Ink Black Heart;Robert Galbraith;4,12;1391;95661;9330;2022-08-30;2022;Mystery
Reckless Girls;Rachel Hawkins;3,56;320;133047;14084;2022-01-04;2022;Thriller
The Hotel Nantucket;Elin Hilderbrand;4,06;416;248910;19900;2022-06-14;2022;Fiction
The Golden Enclaves;Naomi Novik;4,14;407;79530;9396;2022-09-27;2022;Fantasy
The School for Good Mothers;Jessamine Chan;3,54;336;110499;15490;2022-01-04;2022;Fiction
The Magnificent Lives of Marjorie Post;Allison Pataki;4,15;400;57401;5216;2022-02-15;2022;Historical Fiction
The House Across the Lake;Riley Sager;3,6;369;287493;36593;2022-06-21;2022;Thriller
Electric Idol;Katee Robert;3,97;375;100684;10328;2022-01-18;2022;Romance
Nine Lives;Peter Swanson;3,56;320;39635;5260;2022-03-15;2022;Mystery
This Time Tomorrow;Emma Straub;3,8;310;137913;14419;2022-05-17;2022;Fiction
Kingdom of the Feared;Kerri Maniscalco;3,87;417;114264;13493;2022-09-27;2022;Fantasy
A Prayer for the Crown-Shy;Becky Chambers;4,42;152;57559;8350;2022-07-12;2022;Science Fiction
Bloomsbury Girls;Natalie Jenner;3,86;353;14934;2321;2022-05-17;2022;Historical Fiction
The Bullet That Missed;Richard Osman;4,38;342;184241;15188;2022-09-15;2022;Mystery
Nora Goes Off Script;Annabel Monaghan;4,1;272;144807;17869;2022-06-07;2022;Romance
My Killer Vacation;Tessa Bailey;3,62;295;123510;15277;2022-06-06;2022;Romance
Hunt the Stars;Jessie Mihalik;4,03;419;10255;1432;2022-02-01;2022;Romance
The Very Secret Society of Irregular Witches;Sangu Mandanna;4,11;318;180007;29353;2022-08-23;2022;Fantasy
Bloodmarked;Tracy Deonn;4,32;576;60056;10527;2022-11-08;2022;Fantasy
Hotel Magnifique;Emily J. Taylor;3,78;400;25646;4319;2022-04-05;2022;Fantasy
The Change;Kirsten Miller;4,1;480;43981;6392;2022-05-03;2022;Fantasy
Shadows Reel;C.J. Box;4,19;384;22732;1468;2022-03-08;2022;Mystery
Icebreaker;Hannah Grace;3,85;435;844436;98725;2022-08-23;2022;Sports Romance
The Hacienda;Isabel Cañas;3,84;352;44652;7098;2022-05-03;2022;Horror
Sweep of the Heart;Ilona Andrews;4,52;456;14757;1456;2022-12-13;2022;Fantasy
Peach Blossom Spring;Melissa Fu;4,18;400;17648;2581;2022-03-15;2022;Historical Fiction
Memphis;Tara M. Stringfellow;4,1;272;34218;4034;2022-04-05;2022;Fiction
Lore Olympus: Volume Three;Rachel Smythe;4,49;384;43956;3226;2022-10-11;2022;Graphic Novels
The Violin Conspiracy;Brendan Slocumb;4,12;345;56445;7987;2022-02-01;2022;Mystery
Mile High;Liz Tomforde;4,11;603;241916;25818;2022-06-04;2022;Romance
The Magnolia Palace;Fiona Davis;3,88;340;71453;5962;2022-01-25;2022;Historical Fiction
King of Wrath;Ana Huang;4,06;398;380920;36937;2022-10-18;2022;Contemporary
Soul Taken;Patricia Briggs;4,44;389;24202;1899;2022-08-23;2022;Urban Fantasy
Cleopatra and Frankenstein;Coco Mellors;3,74;384;129956;19640;2022-02-15;2022;Fiction
