Fourth Wing;Rebecca Yarros;4,58;1,833,552 ;237,231 ;517;2023-05-02;2023;Dragons
Happy Place;Emily Henry;4;965,692 ;116,016 ;400;2023-04-25;2023;Romance
Yellowface;R.F. Kuang;3,78;554,177 ;74,895 ;336;2023-05-16;2023;Fiction
Divine Rivals;RebeccaRoss;4,2;465,902 ;77,182 ;357;2023-04-04;2023;Romance
Love, Theoretically;Ali Hazelwood;4,11;432,513 ;60,004 ;389;2023-06-13;2023;Romance
Iron Flame;Rebecca Yarros;4,35;1,195,514 ;134,864 ;640;2023-11-07;2023;Romance
The Stolen Heir;Holly Black;3,98;115,428 ;20,128 ;356;2023-01-03;2023;Young Adult
Tress of the Emerald Sea;Brandon Sanderson;4,4;144,816 ;22,191 ;483;2023-01-10;2023;Fantasy
A Curse for True Love;Stephanie Garber;4,13;197,359 ;35,422 ;386;2023-10-24;2023;Fantasy
Emily Wilde's Encyclopaedia of Faeries;Heather Fawcett;4,02;104,291 ;19,993 ;317;2023-01-10;2023;Fantasy
Hell Bent;Leigh Bardugo;4,14;130,622 ;17,878 ;481;2023-01-10;2023;Fantasy
Hello Beautiful;Ann Napolitano;4,16;353,628 ;33,318 ;416;2023-03-14;2023;Fiction
Yours Truly;Abby Jimenez;4,32;396,023 ;53,021 ;416;2023-04-11;2023;Romance
The Right Move;Liz Tomforde;4,42;220,137 ;24,550 ;499;2023-02-07;2023;Romance
The Adventures of Amina al-Sirafi;Shannon Chakraborty;4,28;49,329 ;9,758 ;483;2023-02-28;2023;Fantasy
All the Dangerous Things;Stacy Willingham;4,07;197,136 ;20,295 ;326;2023-01-10;2023;Thriller
Final Offer;Lauren Asher;4,23;235,908 ;25,375 ;583;2023-01-23;2023;Romance
The Ashes & the Star-Cursed King;Carissa Broadbent;4,15;216,348 ;20,643 ;665;2023-04-14;2023;Fantasy
Vera Wong's Unsolicited Advice for Murderers;Jesse Q. Sutanto;4,04;101,240 ;15,792 ;339;2023-03-14;2023;Mystery
Weyward;Emilia Hart;4,07;187,025 ;22,093 ;329;2023-02-02;2023;Historical Fiction
Lady Tan’s Circle of Women;Lisa See;4,36;110,902 ;11,168 ;352;2023-06-06;2023;Historical Fiction
Maame;Jessica George;4,07;95,904 ;12,265 ;320;2023-01-31;2023;Fiction
The Seven Year Slip;Ashley Poston;4,23;234,395 ;41,968 ;352;2023-06-27;2023;Romance
How to Sell a Haunted House;Grady Hendrix;3,69;109,734 ;19,247 ;419;2023-01-17;2023;Horror
Things We Left Behind;Lucy Score;4,43;285,092 ;23,430 ;592;2023-09-05;2023;Romance
King of Pride;Ana Huang;3,95;202,381 ;20,309 ;358;2023-04-27;2023;Romance
In the Lives of Puppets;T.J. Klune;3,93;69,793 ;12,769 ;432;2023-04-25;2023;Fantasy
