Where the Drowned Girls Go;Seanan McGuire;4,05;17,168 ;2,905 ;150;2022-01-04;2022;Fantasy
Trust;Hernan Diaz;3,83;113,320 ;13,339 ;402;2022-05-03;2022;Fiction
The Candy House;Jennifer Egan;3,64;60,034 ;7,873 ;352;2022-04-05;2022;Fiction
How High We Go in the Dark;Sequoia Nagamatsu;3,83;58,194 ;9,902 ;293;2022-01-18;2022;Science Fiction
The No-Show;Beth O'Leary;3,8;97,822 ;13,789 ;337;2022-04-12;2022;Romance
What Moves the Dead;T. Kingfisher;3,9;76,357 ;13,061 ;165;2022-07-12;2022;Horror
The Measure;Nikki Erlick;4;227,635 ;27,530 ;353;2022-06-28;2022;Fiction
The It Girl;Ruth Ware;3,85;254,478 ;22,092 ;423;2022-07-12;2022;Mystery
Anatomy;Dana Schwartz;3,84;84,015 ;12,606 ;338;2022-01-18;2022;Historical Fiction
The Overnight Guest;Heather Gudenkauf;4,04;107,703 ;11,013 ;316;2022-01-25;2022;Thriller
A Magic Steeped in Poison;Judy I. Lin;3,83;29,551 ;5,991 ;374;2022-03-29;2022;Fantasy
Fairy Tale;Stephen King;4,11;256,000 ;29,889 ;599;2022-09-06;2022;Fantasy
The Night Shift;Alex Finlay;3,91;66,122 ;8,467 ;312;2022-03-01;2022;Thriller
Daisy Darker;Alice Feeney;3,77;191,796 ;24,461 ;338;2022-08-30;2022;Mystery
Ruby Fever;Ilona Andrews;4,44;16,810 ;1,767 ;380;2022-08-23;2022;Urban Fantasy
Killers of a Certain Age;Deanna Raybourn;3,86;94,208 ;12,621 ;368;2022-09-06;2022;Mystery
The Christie Affair;Nina de Gramont;3,72;84,035 ;8,481 ;320;2022-02-01;2022;Historical Fiction
Fevered Star;Rebecca Roanhorse;4,1;16,740 ;2,674 ;384;2022-04-19;2022;Fantasy
The Book Woman's Daughter;Kim Michele Richardson;4,23;69,191 ;6,310 ;320;2022-05-03;2022;Historical Fiction
The Ink Black Heart;Robert Galbraith;4,12;95,661 ;9,330 ;1391;2022-08-30;2022;Mystery
Reckless Girls;Rachel Hawkins;3,56;133,047 ;14,084 ;320;2022-01-04;2022;Thriller
The Hotel Nantucket;Elin Hilderbrand;4,06;248,910 ;19,900 ;416;2022-06-14;2022;Fiction
The Golden Enclaves;Naomi Novik;4,14;79,530 ;9,396 ;407;2022-09-27;2022;Fantasy
The School for Good Mothers;Jessamine Chan;3,54;110,499 ;15,490 ;336;2022-01-04;2022;Fiction
The Magnificent Lives of Marjorie Post;Allison Pataki;4,15;57,401 ;5,216 ;400;2022-02-15;2022;Historical Fiction
The House Across the Lake;Riley Sager;3,6;287,493 ;36,593 ;369;2022-06-21;2022;Thriller
Electric Idol;Katee Robert;3,97;100,684 ;10,328 ;375;2022-01-18;2022;Romance
Nine Lives;Peter Swanson;3,56;39,635 ;5,260 ;320;2022-03-15;2022;Mystery
This Time Tomorrow;Emma Straub;3,8;137,913 ;14,419 ;310;2022-05-17;2022;Fiction
Kingdom of the Feared;Kerri Maniscalco;3,87;114,264 ;13,493 ;417;2022-09-27;2022;Fantasy
A Prayer for the Crown-Shy;Becky Chambers;4,42;57,559 ;8,350 ;152;2022-07-12;2022;Science Fiction
Bloomsbury Girls;Natalie Jenner;3,86;14,934 ;2,321 ;353;2022-05-17;2022;Historical Fiction
The Bullet That Missed;Richard Osman;4,38;184,241 ;15,188 ;342;2022-09-15;2022;Mystery
Nora Goes Off Script;Annabel Monaghan;4,1;144,807 ;17,869 ;272;2022-06-07;2022;Romance
My Killer Vacation;Tessa Bailey;3,62;123,510 ;15,277 ;295;2022-06-06;2022;Romance
Hunt the Stars;Jessie Mihalik;4,03;10,255 ;1,432 ;419;2022-02-01;2022;Romance
The Very Secret Society of Irregular Witches;Sangu Mandanna;4,11;180,007 ;29,353 ;318;2022-08-23;2022;Fantasy
Bloodmarked;Tracy Deonn;4,32;60,056 ;10,527 ;576;2022-11-08;2022;Fantasy
Hotel Magnifique;Emily J. Taylor;3,78;25,646 ;4,319 ;400;2022-04-05;2022;Fantasy
The Change;Kirsten Miller;4,1;43,981 ;6,392 ;480;2022-05-03;2022;Fantasy
Shadows Reel;C.J. Box;4,19;22,732 ;1,468 ;384;2022-03-08;2022;Mystery
Icebreaker;Hannah Grace;3,85;844,436 ;98,725 ;435;2022-08-23;2022;Sports Romance
The Hacienda;Isabel Cañas;3,84;44,652 ;7,098 ;352;2022-05-03;2022;Horror
Sweep of the Heart;Ilona Andrews;4,52;14,757 ;1,456 ;456;2022-12-13;2022;Fantasy
Peach Blossom Spring;Melissa Fu;4,18;17,648 ;2,581 ;400;2022-03-15;2022;Historical Fiction
Memphis;Tara M. Stringfellow;4,1;34,218 ;4,034 ;272;2022-04-05;2022;Fiction
Lore Olympus: Volume Three;Rachel Smythe;4,49;43,956 ;3,226 ;384;2022-10-11;2022;Graphic Novels
The Violin Conspiracy;Brendan Slocumb;4,12;56,445 ;7,987 ;345;2022-02-01;2022;Mystery
Mile High;Liz Tomforde;4,11;241,916 ;25,818 ;603;2022-06-04;2022;Romance
The Magnolia Palace;Fiona Davis;3,88;71,453 ;5,962 ;340;2022-01-25;2022;Historical Fiction
King of Wrath;Ana Huang;4,06;380,920 ;36,937 ;398;2022-10-18;2022;Contemporary
Soul Taken;Patricia Briggs;4,44;24,202 ;1,899 ;389;2022-08-23;2022;Urban Fantasy
Cleopatra and Frankenstein;Coco Mellors;3,74;129,956 ;19,640 ;384;2022-02-15;2022;Fiction
The Housemaid;Freida McFadden;4,33;1,359,077 ;115,623 ;338;2022-04-26;2022;Thriller
Time Is a Mother;Ocean Vuong;3,95;28,690 ;4,724 ;114;2022-04-05;2022;Queer
Hide;Kiersten White;3,33;36,501 ;6,833 ;240;2022-05-24;2022;Horror
The Marriage Portrait;Maggie O'Farrell;4,01;152,969 ;15,142 ;355;2022-08-30;2022;Historical Fiction
Our Wives Under the Sea;Julia Armfield;3,78;76,797 ;15,644 ;240;2022-03-03;2022;Horror
Lapvona;Ottessa Moshfegh;3,53;68,295 ;15,272 ;313;2022-06-21;2022;Fiction
Hester;Laurie Lico Albanese;3,97;38,287 ;5,021 ;322;2022-10-04;2022;Historical Fiction
Horse;Geraldine Brooks;4,28;145,267 ;14,077 ;401;2022-06-14;2022;Historical Fiction
A Mirror Mended;Alix E. Harrow;3,77;12,395 ;1,987 ;128;2022-06-14;2022;Fantasy
Finlay Donovan Knocks 'Em Dead;Elle Cosimano;3,98;90,697 ;10,667 ;357;2022-02-01;2022;Mystery
Cursed;Marissa Meyer;4,01;22,665 ;3,339 ;485;2022-11-08;2022;Fantasy
The Daughter of Doctor Moreau;Silvia Moreno-Garcia;3,58;33,049 ;4,952 ;306;2022-07-19;2022;Historical Fiction
Finding Me;Viola Davis;4,55;128,444 ;16,698 ;304;2022-04-26;2022;Nonfiction
Unmasked: My Life Solving America's Cold Cases;Paul Holes;4,1;25,540 ;2,939 ;288;2022-04-26;2022;True Crime
Critical Alliance;Elizabeth Goddard;4,39;815 ;252 ;368;2022-07-01;2022;Christian Fiction
Our Missing Hearts;Celeste Ng;3,8;184,019 ;18,126 ;335;2022-10-04;2022;Fiction
A Sunlit Weapon;Jacqueline Winspear;4,27;14,845 ;1,443 ;358;2022-03-22;2022;Mystery
Delilah Green Doesn't Care;Ashley Herring Blake;4,09;90,829 ;13,721 ;375;2022-02-22;2022;Romance
The Serpent and the Wings of Night;Carissa Broadbent;4,33;367,705 ;43,805 ;504;2022-08-30;2022;Romance
Terms and Conditions;Lauren Asher;4,12;366,348 ;34,519 ;435;2022-02-24;2022;Romance
The Good Left Undone;Adriana Trigiani;3,98;25,013 ;2,613 ;439;2022-04-26;2022;Historical Fiction
Nightcrawling;Leila Mottley;3,98;50,553 ;6,592 ;277;2022-06-07;2022;Fiction
The Family Remains;Lisa Jewell;3,88;139,104 ;10,356 ;452;2022-07-26;2022;Thriller
Wrong Place Wrong Time;Gillian McAllister;4;340,333 ;34,137 ;416;2022-05-12;2022;Mystery
Dead Silence;S.A. Barnes;3,8;27,838 ;5,089 ;343;2022-02-08;2022;Horror
This Vicious Grace;Emily Thiede;3,98;14,462 ;3,455 ;448;2022-06-28;2022;Fantasy
Hidden Pictures;Jason Rekulak;4,15;301,634 ;32,530 ;372;2022-05-10;2022;Horror
The Lies I Tell;Julie  Clark;4,1;78,263 ;7,895 ;302;2022-06-21;2022;Thriller
Nona the Ninth;Tamsyn Muir;4,35;41,453 ;6,771 ;480;2022-09-13;2022;Fantasy
Only a Monster;Vanessa Len;3,87;27,097 ;5,645 ;416;2022-02-01;2022;Fantasy
